Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Lee Harris #1,M,SBD,Raw,25.5,24-34,24-39,MR-O,73.1,74,195,205,210,,210,172.5,177.5,182.5,,182.5,235,250,-262.5,,250,642.5,9,468.68,466.22,450.98,94.93,Yes,England,WM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Gabriel Rowland,M,SBD,Raw,22.5,20-23,19-23,MR-O,103.4,105,225,235,245,,245,150,157.5,165,,165,270,290,305,,305,715,30,433.92,429.61,410.21,88.91,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Hani Tabbara,M,SBD,Raw,22.5,20-23,19-23,MR-O,92.7,93,255,267.5,275,,275,142.5,-145,-147.5,,142.5,282.5,302.5,-317.5,,302.5,720,23,458.81,452.99,433.62,94.34,Yes,England,WM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Owen Marron,M,SBD,Raw,25.5,24-34,24-39,MR-O,91.7,93,255,-262.5,-262.5,,255,167.5,-175,-180,,167.5,275,297.5,-317.5,,297.5,720,22,461.24,455.37,436.09,94.84,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Raymarc Japson,M,SBD,Raw,24,24-34,24-39,MR-O,92,93,245,265,275,,275,162.5,172.5,177.5,,177.5,240,260,270,,270,722.5,19,462.11,456.23,436.85,95.02,Yes,Scotland,,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Annie Nelson,F,SBD,Raw,,,,FR-O,68.9,69,190,-197.5,-197.5,,190,110,115,-117.5,,115,207.5,220,225,,225,530,1,540.78,533.11,470.09,109.89,Yes,Scotland,,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Kieran Drysdale,M,SBD,Raw,26.5,24-34,24-39,MR-O,72.8,74,200,207.5,-210,,207.5,140,145,150,,150,245,255,-262.5,,255,612.5,16,448.01,445.78,431.28,90.69,Yes,England,SW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
George Sandoe,M,SBD,Raw,27,24-34,24-39,MR-O,73.4,74,225,232.5,245,,245,135,140,145,,145,230,247.5,-260,,247.5,637.5,11,463.79,461.23,446.07,93.99,Yes,England,SW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Josh Hinchcliffe,M,SBD,Raw,25.5,24-34,24-39,MR-O,81.8,83,210,220,-222.5,,220,147.5,155,157.5,,157.5,257.5,272.5,280,,280,657.5,12,447.55,442.73,426.16,91.69,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Stacie Jones,F,SBD,Raw,27.5,24-34,24-39,FR-O,68.2,69,157.5,167.5,-175,,167.5,92.5,97.5,100,,100,162.5,175,-180,,175,442.5,6,454.13,448.31,395.40,92.28,Yes,England,YNE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Ajay Sharma #1,M,SBD,Raw,27,24-34,24-39,MR-O,151.6,120+,370,390,403.5,,403.5,220,230,235,,235,340,362.5,-372.5,,362.5,1001,1,536.77,553.02,522.46,105.82,Yes,England,WM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Paul Olowogboye,M,SBD,Raw,,,,MR-O,119.6,120,275,287.5,300,,300,165,172.5,177.5,,177.5,270,280,300,,300,777.5,12,447.02,447.35,428.66,90.51,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Declan Powell,M,SBD,Raw,,,,MR-O,90.8,93,242.5,257.5,270,,270,177.5,187.5,192.5,,192.5,265,280,-290,,280,742.5,15,477.98,471.90,452.10,98.28,Yes,England,GL,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
