Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Tom Wewege,M,SBD,Raw,29.5,24-34,24-39,Open,104.6,105,260,280,285,,285,195,202.5,-207.5,,202.5,272.5,292.5,300,,300,787.5,13,475.67,471.21,449.95,97.40,Yes,South Africa,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Kyle Noonan,M,SBD,Raw,31,24-34,24-39,Open,147.15,120+,305,315,320,,320,205,215,-220,,215,330,-352.5,-352.5,,330,865,8,467.57,479.90,454.40,92.48,Yes,South Africa,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Alseni Abdlkaleg Fenaer,M,SBD,Raw,32.5,24-34,24-39,Open,92.65,93,-260,260,-270,,260,160,170,-177.5,,170,280,-300,-300,,280,710,23,452.56,446.82,427.71,93.05,Yes,Libya,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Eslam Salem Merwas,M,SBD,Raw,24.5,24-34,24-39,Open,118.6,120,-290,290,-315,,290,170,182.5,-185,,182.5,,,,,,,DQ,,,,,Yes,Libya,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Mohamed Sahad,M,SBD,Raw,34.5,24-34,24-39,Open,119.1,120,345,355,365,,365,200,212.5,220,,220,320,335,-345,,335,920,1,529.69,529.86,507.70,107.30,Yes,Algeria,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Noémie Allabert,F,SBD,Raw,31.5,24-34,24-39,Open,51.6,52,160,165,168,,168,77.5,-82.5,-82.5,,77.5,182.5,190,192.5,,192.5,438,1,536.76,549.29,487.04,111.34,Yes,France,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Laura de Wet,F,SBD,Raw,47.5,45-49,40-49,Open,68.1,69,130,140,-145,,140,70,-72.5,-72.5,,70,150,170,-177.5,,170,380,20,390.32,385.39,339.92,79.31,Yes,South Africa,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Giulia Muto,F,SBD,Raw,34.5,24-34,24-39,Open,51.35,52,-115,115,120,,120,70,-72.5,72.5,,72.5,120,130,-140,,130,322.5,12,396.56,405.96,360.02,82.33,Yes,South Africa,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Sasha Payne,F,SBD,Raw,27,24-34,24-39,Open,54.85,57,130,-140,-140,,130,-80,80,-82.5,,80,-130,-137.5,137.5,,137.5,347.5,13,408.41,415.57,367.76,83.97,Yes,South Africa,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Abdulla Mohamed Ahmeed Mohamed,M,SBD,Raw,33.5,24-34,24-39,Open,102.95,105,300,317.5,325,,325,190,205,210,,210,320,340,350,,350,885,4,538.06,532.61,508.56,110.28,Yes,Libya,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Amar Kanane,M,SBD,Raw,34.5,24-34,24-39,Open,92.65,93,310,322.5,-332,,322.5,170,177.5,180,,180,315,330,-342.5,,330,832.5,7,530.64,523.91,501.51,109.11,Yes,Algeria,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Ilyes Boughalem,M,SBD,Raw,35,35-39,24-39,Open,161.6,120+,335,350,360,,360,265,280,291.5,,291.5,280,300,-310,,300,951.5,2,501.71,520.85,488.23,98.27,Yes,Algeria,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Mohamed Lakehal,M,SBD,Raw,39,35-39,40-49,Open,59,59,210,215,-217.5,,215,92.5,-97.5,97.5,,97.5,210,-220,-220,,210,522.5,4,447.19,452.58,442.37,86.46,Yes,Algeria,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Marlon Daniels,M,SBD,Raw,46.5,45-49,40-49,Open,81.35,83,225,247.5,-267.5,,247.5,140,150,-155,,150,220,240,250,,250,647.5,20,442.15,437.47,421.20,90.55,Yes,South Africa,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Rubén Rodríguez Castro,M,SBD,Raw,25.5,24-34,24-39,Open,92.6,93,280,295,-297.5,,295,167.5,175,-180,,175,282.5,302.5,-322.5,,302.5,772.5,15,492.53,486.27,465.49,101.27,Yes,Spain,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Susan Elwyn,F,SBD,Raw,74,70-74,70-999,Open,46.2,47,60,70,75,,75,30,35,-37.5,,35,100,112.5,-122.5,,112.5,222.5,9,295.34,302.94,270.42,62.75,Yes,US Virgin Islands,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Kimberly Walford,F,SBD,Raw,43.5,40-44,40-49,Open,74.9,76,187.5,-192.5,-192.5,,187.5,107.5,112.5,-115,,112.5,230,237.5,242.5,,242.5,542.5,3,528.76,516.15,454.06,107.70,Yes,US Virgin Islands,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
